intervention,admin_2,age_group,mean_impact,n_obs,quantile_value,quantile_numeric
IG2_Nets,Bunda District Council,0-100,35678.5781578061,96,40-60%,3
IG2_Nets,Bunda District Council,0-5,3713.78885423075,96,40-60%,3
IG2_Nets,Butiama District Council,0-100,2799.35645711892,96,0-20%,1
IG2_Nets,Butiama District Council,0-5,301.248700398303,96,0-20%,1
IG2_Nets,Chunya District Council,0-100,4322.45434847558,96,0-20%,1
IG2_Nets,Chunya District Council,0-5,353.487573632284,96,0-20%,1
IG2_Nets,Itigi District Council,0-100,39055.9316185368,96,60-80%,4
IG2_Nets,Itigi District Council,0-5,4002.58455954341,96,60-80%,4
IG2_Nets,Kongwa District Council,0-100,94287.0978316103,96,80-100%,5
IG2_Nets,Kongwa District Council,0-5,8565.9604348306,96,80-100%,5
IG2_Nets,Mbulu Town Council,0-100,29717.6258909104,96,40-60%,3
IG2_Nets,Mbulu Town Council,0-5,2308.18096108834,96,40-60%,3
IG2_Nets,Morogoro Municipal Council,0-100,7232.75165922055,96,20-40%,2
IG2_Nets,Morogoro Municipal Council,0-5,740.356627171942,96,20-40%,2
IG2_Nets,Msalala District Council,0-100,39461.3257571576,95,60-80%,4
IG2_Nets,Msalala District Council,0-5,3801.30301671128,95,60-80%,4
IG2_Nets,Rorya District Council,0-100,101581.524429066,96,80-100%,5
IG2_Nets,Rorya District Council,0-5,13827.7821427801,96,80-100%,5
IG2_Nets,Shinyanga Municipal Council,0-100,5045.40483885538,95,20-40%,2
IG2_Nets,Shinyanga Municipal Council,0-5,438.018508565293,95,20-40%,2
IPTSc,Bunda District Council,0-100,21041.2127597318,192,40-60%,3
IPTSc,Bunda District Council,0-5,2190.18317044378,192,40-60%,3
IPTSc,Butiama District Council,0-100,1656.88749843587,191,0-20%,1
IPTSc,Butiama District Council,0-5,178.303554140336,191,0-20%,1
IPTSc,Chunya District Council,0-100,2558.3810715981,191,0-20%,1
IPTSc,Chunya District Council,0-5,209.2227805124,191,0-20%,1
IPTSc,Itigi District Council,0-100,23032.985313496,192,60-80%,4
IPTSc,Itigi District Council,0-5,2360.49858639739,192,60-80%,4
IPTSc,Kongwa District Council,0-100,55605.2115417189,192,80-100%,5
IPTSc,Kongwa District Council,0-5,5051.72025643856,192,80-100%,5
IPTSc,Mbulu Town Council,0-100,17525.7793715625,192,40-60%,3
IPTSc,Mbulu Town Council,0-5,1361.23492577005,192,40-60%,3
IPTSc,Morogoro Municipal Council,0-100,4265.46892723263,192,20-40%,2
IPTSc,Morogoro Municipal Council,0-5,436.620574998837,192,20-40%,2
IPTSc,Msalala District Council,0-100,23188.9701474324,191,60-80%,4
IPTSc,Msalala District Council,0-5,2233.78967848981,191,60-80%,4
IPTSc,Rorya District Council,0-100,60124.2322929465,191,80-100%,5
IPTSc,Rorya District Council,0-5,8184.40942210237,191,80-100%,5
IPTSc,Shinyanga Municipal Council,0-100,3070.18941704863,192,20-40%,2
IPTSc,Shinyanga Municipal Council,0-5,266.539521092955,192,20-40%,2
IRS,Bunda District Council,0-100,28692.5628541797,192,40-60%,3
IRS,Bunda District Council,0-5,2986.61341424152,192,40-60%,3
IRS,Butiama District Council,0-100,2258.58643838837,191,0-20%,1
IRS,Butiama District Council,0-5,243.054516180475,191,0-20%,1
IRS,Chunya District Council,0-100,3487.45753588931,191,0-20%,1
IRS,Chunya District Council,0-5,285.202064179556,191,0-20%,1
IRS,Itigi District Council,0-100,31408.6163365855,192,60-80%,4
IRS,Itigi District Council,0-5,3218.86170872372,192,60-80%,4
IRS,Kongwa District Council,0-100,75825.2884659803,192,80-100%,5
IRS,Kongwa District Council,0-5,6888.70944059803,192,80-100%,5
IRS,Mbulu Town Council,0-100,23898.7900521307,192,40-60%,3
IRS,Mbulu Town Council,0-5,1856.22944423188,192,40-60%,3
IRS,Morogoro Municipal Council,0-100,5816.54853713541,192,20-40%,2
IRS,Morogoro Municipal Council,0-5,595.391693180233,192,20-40%,2
IRS,Msalala District Council,0-100,31611.4594177243,191,60-80%,4
IRS,Msalala District Council,0-5,3045.12668395197,191,60-80%,4
IRS,Rorya District Council,0-100,81958.356136765,191,80-100%,5
IRS,Rorya District Council,0-5,11156.5789134318,191,80-100%,5
IRS,Shinyanga Municipal Council,0-100,4186.62193233904,192,20-40%,2
IRS,Shinyanga Municipal Council,0-5,363.462983308574,192,20-40%,2
LSM,Bunda District Council,0-100,3289.493529524,191,40-60%,3
LSM,Bunda District Council,0-5,342.403902755794,191,40-60%,3
LSM,Butiama District Council,0-100,258.364668629064,190,0-20%,1
LSM,Butiama District Council,0-5,27.8035405085381,190,0-20%,1
LSM,Chunya District Council,0-100,404.146950662004,191,0-20%,1
LSM,Chunya District Council,0-5,33.0508811575491,191,0-20%,1
LSM,Itigi District Council,0-100,3639.34317626046,191,60-80%,4
LSM,Itigi District Council,0-5,372.972252882225,191,60-80%,4
LSM,Kongwa District Council,0-100,8427.77012947667,191,80-100%,5
LSM,Kongwa District Council,0-5,765.660913775006,191,80-100%,5
LSM,Mbulu Town Council,0-100,2656.28411057542,191,40-60%,3
LSM,Mbulu Town Council,0-5,206.314745120571,191,40-60%,3
LSM,Morogoro Municipal Council,0-100,646.493208395962,191,20-40%,2
LSM,Morogoro Municipal Council,0-5,66.1761323779756,191,20-40%,2
LSM,Msalala District Council,0-100,3615.73719784537,190,60-80%,4
LSM,Msalala District Council,0-5,348.303369288393,190,60-80%,4
LSM,Rorya District Council,0-100,9375.39655988006,190,80-100%,5
LSM,Rorya District Council,0-5,1276.22559181733,190,80-100%,5
LSM,Shinyanga Municipal Council,0-100,480.895887309925,191,20-40%,2
LSM,Shinyanga Municipal Council,0-5,41.749137296674,191,20-40%,2
PBO_Nets,Bunda District Council,0-100,30421.8935433176,94,40-60%,3
PBO_Nets,Bunda District Council,0-5,3166.61971971124,94,40-60%,3
PBO_Nets,Butiama District Council,0-100,2501.2536488545,94,0-20%,1
PBO_Nets,Butiama District Council,0-5,269.168797409755,94,0-20%,1
PBO_Nets,Chunya District Council,0-100,3839.91476085471,94,0-20%,1
PBO_Nets,Chunya District Council,0-5,314.025792371417,94,0-20%,1
PBO_Nets,Itigi District Council,0-100,34356.758019281,94,60-80%,4
