admin_2,age_group,scenario_name,metric,value,intervention
Bunda District Council,0-100,CM_IG2_Nets,IMPACT_nUncompCum,186960.387040879,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc,IMPACT_nUncompCum,50335.4888186983,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc,IMPACT_nUncompCum,93480.1935204397,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS,IMPACT_nUncompCum,31459.6805116864,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS,IMPACT_nUncompCum,18875.8083070118,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS,IMPACT_nUncompCum,35055.072570165,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM,IMPACT_nUncompCum,1887.58083070119,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM,IMPACT_nUncompCum,28313.7124605177,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM,IMPACT_nUncompCum,16988.2274763107,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM,IMPACT_nUncompCum,31549.5653131483,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,755.032332280491,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,11325.4849842071,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,6795.29099052427,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,12619.8261252594,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC,IMPACT_nUncompCum,10192.9364857864,PMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,377.516166140237,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,5662.74249210356,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,3397.64549526213,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,3397.64549526213,Vaccine
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,6309.91306262967,IG2_Nets
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_PMC_Vaccine,IMPACT_nUncompCum,5096.46824289318,PMC
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC,IMPACT_nUncompCum,566.274249210352,LSM
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC,IMPACT_nUncompCum,8494.11373815533,IRS
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC,IMPACT_nUncompCum,5096.4682428932,IPTSc
Bunda District Council,0-100,CM_IG2_Nets_IPTSc_IRS_LSM_SMC,IMPACT_nUncompCum,9464.86959394451,IG2_Nets
