intervention,admin_2,age_group,mean_impact,n_obs,quantile_value,quantile_numeric
IG2_Nets,Bunda District Council,0-100,6225.92934949951,96,40-60%,3
IG2_Nets,Bunda District Council,0-5,711.12720937583,96,60-80%,4
IG2_Nets,Butiama District Council,0-100,519.720483551149,96,0-20%,1
IG2_Nets,Butiama District Council,0-5,66.4903961632612,96,0-20%,1
IG2_Nets,Chunya District Council,0-100,1049.90622992343,96,20-40%,2
IG2_Nets,Chunya District Council,0-5,62.1961708622518,96,0-20%,1
IG2_Nets,Itigi District Council,0-100,8005.60727196712,96,60-80%,4
IG2_Nets,Itigi District Council,0-5,791.472599992605,96,60-80%,4
IG2_Nets,Kongwa District Council,0-100,18683.5838232322,94,80-100%,5
IG2_Nets,Kongwa District Council,0-5,1754.15870411026,94,80-100%,5
IG2_Nets,Mbulu Town Council,0-100,5897.26247638,94,40-60%,3
IG2_Nets,Mbulu Town Council,0-5,463.276531411771,94,40-60%,3
IG2_Nets,Morogoro Municipal Council,0-100,937.361596641324,94,0-20%,1
IG2_Nets,Morogoro Municipal Council,0-5,147.907000768257,94,20-40%,2
IG2_Nets,Msalala District Council,0-100,7467.89150506943,95,60-80%,4
IG2_Nets,Msalala District Council,0-5,675.96700804034,95,40-60%,3
IG2_Nets,Rorya District Council,0-100,16574.457052985,96,80-100%,5
IG2_Nets,Rorya District Council,0-5,3250.96714132795,96,80-100%,5
IG2_Nets,Shinyanga Municipal Council,0-100,948.98273038415,95,20-40%,2
IG2_Nets,Shinyanga Municipal Council,0-5,69.4483615752204,95,20-40%,2
IPTSc,Bunda District Council,0-100,3617.89281344488,190,40-60%,3
IPTSc,Bunda District Council,0-5,413.236623132055,190,60-80%,4
IPTSc,Butiama District Council,0-100,305.262659957523,190,0-20%,1
IPTSc,Butiama District Council,0-5,39.0537526166775,190,0-20%,1
IPTSc,Chunya District Council,0-100,615.781234697013,190,20-40%,2
IPTSc,Chunya District Council,0-5,36.4787195231492,190,0-20%,1
IPTSc,Itigi District Council,0-100,4687.73151143387,190,60-80%,4
IPTSc,Itigi District Council,0-5,463.45154357168,190,60-80%,4
IPTSc,Kongwa District Council,0-100,11341.3388368247,190,80-100%,5
IPTSc,Kongwa District Council,0-5,1064.81221296216,190,80-100%,5
IPTSc,Mbulu Town Council,0-100,3579.7656695367,190,40-60%,3
IPTSc,Mbulu Town Council,0-5,281.218858630133,190,40-60%,3
IPTSc,Morogoro Municipal Council,0-100,568.998730688767,190,0-20%,1
IPTSc,Morogoro Municipal Council,0-5,89.7827433923812,190,20-40%,2
IPTSc,Msalala District Council,0-100,4354.89766523774,190,60-80%,4
IPTSc,Msalala District Council,0-5,394.189865117122,190,40-60%,3
IPTSc,Rorya District Council,0-100,9735.16150984645,190,80-100%,5
IPTSc,Rorya District Council,0-5,1909.48578785159,190,80-100%,5
IPTSc,Shinyanga Municipal Council,0-100,569.783555418793,190,20-40%,2
IPTSc,Shinyanga Municipal Council,0-5,41.697844554369,190,20-40%,2
IRS,Bunda District Council,0-100,4943.9968597608,190,40-60%,3
IRS,Bunda District Council,0-5,564.704559380712,190,60-80%,4
IRS,Butiama District Council,0-100,416.567970558966,190,0-20%,1
IRS,Butiama District Council,0-5,53.2935881267137,190,0-20%,1
IRS,Chunya District Council,0-100,840.410397622899,190,20-40%,2
IRS,Chunya District Council,0-5,49.7856924696779,190,0-20%,1
IRS,Itigi District Council,0-100,6401.81813903174,190,60-80%,4
IRS,Itigi District Council,0-5,632.914340542494,190,60-80%,4
IRS,Kongwa District Council,0-100,15558.9562628471,190,80-100%,5
IRS,Kongwa District Council,0-5,1460.79461058251,190,80-100%,5
IRS,Mbulu Town Council,0-100,4911.00903384673,190,40-60%,3
IRS,Mbulu Town Council,0-5,385.798536192843,190,40-60%,3
IRS,Morogoro Municipal Council,0-100,780.597995684314,190,20-40%,2
IRS,Morogoro Municipal Council,0-5,123.171152691844,190,20-40%,2
IRS,Msalala District Council,0-100,5943.05391552136,190,60-80%,4
IRS,Msalala District Council,0-5,537.94412668828,190,40-60%,3
IRS,Rorya District Council,0-100,13284.8101165888,190,80-100%,5
IRS,Rorya District Council,0-5,2605.72524516169,190,80-100%,5
IRS,Shinyanga Municipal Council,0-100,778.541488420909,190,0-20%,1
IRS,Shinyanga Municipal Council,0-5,56.9751472371668,190,20-40%,2
LSM,Bunda District Council,0-100,566.47268168713,190,40-60%,3
LSM,Bunda District Council,0-5,64.7026515564613,190,60-80%,4
LSM,Butiama District Council,0-100,47.9672426749922,190,0-20%,1
LSM,Butiama District Council,0-5,6.13668513991835,190,0-20%,1
LSM,Chunya District Council,0-100,96.9003695459832,190,20-40%,2
LSM,Chunya District Council,0-5,5.74035258495118,190,0-20%,1
LSM,Itigi District Council,0-100,736.324391268582,190,60-80%,4
LSM,Itigi District Council,0-5,72.7965487934951,190,60-80%,4
LSM,Kongwa District Council,0-100,1824.43798856712,191,80-100%,5
LSM,Kongwa District Council,0-5,171.292285678882,191,80-100%,5
LSM,Mbulu Town Council,0-100,575.863270786438,191,40-60%,3
LSM,Mbulu Town Council,0-5,45.2386068495195,191,40-60%,3
LSM,Morogoro Municipal Council,0-100,91.5326589436155,191,20-40%,2
LSM,Morogoro Municipal Council,0-5,14.4430080186806,191,20-40%,2
LSM,Msalala District Council,0-100,684.263201660306,190,60-80%,4
LSM,Msalala District Council,0-5,61.9370740488712,190,40-60%,3
LSM,Rorya District Council,0-100,1529.72805349998,190,80-100%,5
LSM,Rorya District Council,0-5,300.045764467461,190,80-100%,5
LSM,Shinyanga Municipal Council,0-100,89.2651750173103,190,0-20%,1
LSM,Shinyanga Municipal Council,0-5,6.53259532780748,190,20-40%,2
PBO_Nets,Bunda District Council,0-100,5308.63531166954,94,40-60%,3
PBO_Nets,Bunda District Council,0-5,606.353654669246,94,60-80%,4
PBO_Nets,Butiama District Council,0-100,464.375571950077,94,0-20%,1
PBO_Nets,Butiama District Council,0-5,59.4098495724632,94,0-20%,1
PBO_Nets,Chunya District Council,0-100,932.699365863314,94,20-40%,2
PBO_Nets,Chunya District Council,0-5,55.2528668456222,94,0-20%,1
PBO_Nets,Itigi District Council,0-100,7042.38000329321,94,60-80%,4
PBO_Nets,Itigi District Council,0-5,696.243348191724,94,60-80%,4
PBO_Nets,Kongwa District Council,0-100,17246.3850675989,94,80-100%,5
PBO_Nets,Kongwa District Council,0-5,1619.2234191787,94,80-100%,5
PBO_Nets,Mbulu Town Council,0-100,5443.62690127384,94,40-60%,3
PBO_Nets,Mbulu Town Council,0-5,427.639875149327,94,40-60%,3
PBO_Nets,Morogoro Municipal Council,0-100,865.256858438145,94,20-40%,2
PBO_Nets,Morogoro Municipal Council,0-5,136.529539170699,94,20-40%,2
PBO_Nets,Msalala District Council,0-100,6574.97749153486,95,60-80%,4
PBO_Nets,Msalala District Council,0-5,595.143603769331,95,40-60%,3
PBO_Nets,Rorya District Council,0-100,14809.4470342045,94,80-100%,5
PBO_Nets,Rorya District Council,0-5,2904.77241791548,94,80-100%,5
PBO_Nets,Shinyanga Municipal Council,0-100,863.519968480913,95,0-20%,1
PBO_Nets,Shinyanga Municipal Council,0-5,63.1940340728955,95,20-40%,2
PMC,Bunda District Council,0-100,5756.78445298962,126,40-60%,3
PMC,Bunda District Council,0-5,657.541361814805,126,60-80%,4
PMC,Butiama District Council,0-100,486.219068305127,126,0-20%,1
PMC,Butiama District Council,0-5,62.2043954335657,126,0-20%,1
