intervention,admin_2,mean_impact,min_impact,max_impact,rank
SMC,Kongwa District Council,11442.9844307752,266.136669944181,95987.3916350699,1
SMC,Rorya District Council,10758.9412124167,451.481445783235,93533.2561714193,2
IG2_Nets,Kongwa District Council,10218.8712636712,211.823063833123,89131.149375422,1
IG2_Nets,Rorya District Council,9912.71209715649,359.342375215228,86852.3093020322,2
PMC,Kongwa District Council,9808.27236923592,228.117145666441,82274.9071157742,1
PBO_Nets,Kongwa District Council,9432.80424338881,195.528981999806,82274.9071157742,1
PMC,Rorya District Council,9273.7342336865,386.98409638563,80171.3624326451,2
PBO_Nets,Rorya District Council,8857.10972606001,331.700654044826,80171.3624326451,2
IRS,Kongwa District Council,8509.87543671481,190.0976213887,85703.0282455981,1
IRS,Rorya District Council,7945.26768087523,322.486746988025,83511.8358673386,2
STD_Nets,Kongwa District Council,7074.60318254161,146.646736499855,61706.1803368306,1
STD_Nets,Rorya District Council,6862.64683649296,248.77549053362,60128.5218244838,2
IPTSc,Kongwa District Council,6203.07552489345,114.05857283322,68562.4225964785,1
Vaccine,Kongwa District Council,6203.07552489345,114.05857283322,68562.4225964785,1
Vaccine,Rorya District Council,5827.05538061594,193.492048192815,66809.4686938709,2
IPTSc,Rorya District Council,5822.32364884902,193.492048192815,66809.4686938709,2
SMC,Itigi District Council,4744.9442025703,109.916581192056,45177.3782624044,3
IG2_Nets,Itigi District Council,4398.53993597986,87.4846258467375,41950.4226722326,3
SMC,Msalala District Council,4386.97482642813,93.1838614867693,41832.3843667273,4
PMC,Itigi District Council,4085.32875587985,94.2142124503334,38723.4670820609,3
IG2_Nets,Msalala District Council,4071.92925655489,74.1667468976323,38844.3569119611,4
PBO_Nets,Itigi District Council,3869.31167574247,80.7550392431423,34851.1203738548,3
PMC,Msalala District Council,3782.47040993783,79.8718812743737,35856.3294571948,4
SMC,Bunda District Council,3741.69005863591,98.7585314361716,35134.2697314492,5
PBO_Nets,Msalala District Council,3585.0605476521,68.4616125208913,35856.3294571948,4
SMC,Mbulu Town Council,3561.23230049146,70.2871827071981,30297.3373979363,6
IRS,Itigi District Council,3517.36623978712,78.5118437086105,40336.9448771468,3
IG2_Nets,Bunda District Council,3468.52827943767,78.6037291022586,32624.6790363457,5
IRS,Msalala District Council,3240.49902110482,66.5599010619783,37350.3431845779,4
PMC,Bunda District Council,3207.16290740221,84.6501698024329,30115.0883412422,5
IG2_Nets,Mbulu Town Council,3180.26950389588,55.9428597057291,28133.2418695123,6
PMC,Mbulu Town Council,3052.48482899268,60.2461566061698,25969.1463410882,6
STD_Nets,Itigi District Council,3045.14303260144,60.5662794323567,29042.6003115457,3
PBO_Nets,Bunda District Council,2957.49448316939,72.5572884020849,27103.579507118,5
PBO_Nets,Mbulu Town Council,2935.63338821159,51.6395628052884,25969.1463410882,6
STD_Nets,Msalala District Council,2798.25480221197,51.3462093906684,26892.2470928961,4
IRS,Bunda District Council,2754.35070957076,70.5418081686936,31369.8836887939,5
IRS,Mbulu Town Council,2648.40378501979,50.2051305051415,27051.1941053003,6
IPTSc,Itigi District Council,2575.59152750278,47.1071062251664,32269.5559017174,3
Vaccine,Itigi District Council,2575.59152750278,47.1071062251664,32269.5559017174,3
STD_Nets,Bunda District Council,2401.28880884147,54.4179663015636,22586.3162559316,5
Vaccine,Msalala District Council,2376.23196471956,39.9359406371867,29880.2745476624,4
IPTSc,Msalala District Council,2374.54376517743,39.9359406371867,29880.2745476624,4
STD_Nets,Mbulu Town Council,2201.72504115869,38.7296721039663,19476.8597558162,6
IPTSc,Bunda District Council,2015.56471828847,42.3250849012163,25095.9069510351,5
Vaccine,Bunda District Council,2015.56471828847,42.3250849012163,25095.9069510351,5
IPTSc,Mbulu Town Council,1930.49226408342,30.1230783030849,21640.9552842402,6
Vaccine,Mbulu Town Council,1930.49226408342,30.1230783030849,21640.9552842402,6
LSM,Kongwa District Council,997.865137123003,12.673174759246,13712.484519296,1
LSM,Rorya District Council,914.886908983718,21.499116465868,13361.893738774,2
SMC,Morogoro Municipal Council,607.636173454718,22.4400885470971,4815.71927162098,7
SMC,Chunya District Council,602.531898553829,8.63755797039534,5924.84858149316,8
SMC,Shinyanga Municipal Council,567.6828575688,9.95165366656426,5525.7467152835,9
IG2_Nets,Chunya District Council,556.051200392842,6.87479103766154,5501.6451113865,7
IG2_Nets,Morogoro Municipal Council,542.63429870479,17.8604786395263,4471.73932364805,8
PMC,Morogoro Municipal Council,520.83100581833,19.2343616117975,4127.75937567512,7
PMC,Chunya District Council,519.354035749378,7.40362111748172,5078.44164127985,8
IG2_Nets,Shinyanga Municipal Council,509.215545979686,7.92070393869396,5131.05052133468,9
PBO_Nets,Morogoro Municipal Council,500.893198804422,16.4865956672551,4127.75937567512,7
PBO_Nets,Chunya District Council,493.976116354468,6.34596095784142,4570.59747715187,8
PMC,Shinyanga Municipal Council,486.585306487543,8.52998885705508,4736.35432738586,9
PBO_Nets,Shinyanga Municipal Council,463.357001276904,7.31141902033288,4262.71889464727,9
IRS,Morogoro Municipal Council,451.884574188079,16.0286346764979,4299.74934966159,7
IRS,Chunya District Council,445.098045046289,6.16968426456809,5290.04337633317,8
IRS,Shinyanga Municipal Council,417.758317829038,7.10832404754586,4933.70242436027,9
LSM,Itigi District Council,404.560470031039,5.23412291390741,6453.91118034349,3
STD_Nets,Chunya District Council,384.95852334889,4.75947071838105,3808.83123095988,7
STD_Nets,Morogoro Municipal Council,375.669899103316,12.3649467504413,3095.81953175634,8
LSM,Msalala District Council,373.100137854589,4.43732673746521,5976.0549095325,4
STD_Nets,Shinyanga Municipal Council,363.7531249618,5.48356426524965,3552.26574553939,9
IPTSc,Morogoro Municipal Council,329.390737040574,9.61718080589882,3439.79947972927,7
Vaccine,Morogoro Municipal Council,329.390737040574,9.61718080589882,3439.79947972927,7
Vaccine,Chunya District Council,326.395402465236,3.70181055874085,4232.03470106654,8
IPTSc,Chunya District Council,326.129977110081,3.70181055874085,4232.03470106654,8
